cset: --> last message, executed args into cpuset "/user", new pid is: 75972
L,N,embed_dim,num_heads,use_separate_proj_weight,qkv_same,kv_same,device,avg(us),std(us),num_runs,data/avg(us)
16,64,16,16,True,True,False,cuda,672,10,2977,390
16,64,256,1,True,True,False,cuda,694,12,2880,377
16,64,256,8,True,True,False,cuda,696,11,2872,3013
16,64,256,16,True,True,False,cuda,696,10,2873,6026
16,64,1024,1,True,True,False,cuda,1952,28,1025,537
16,64,1024,8,True,True,False,cuda,1901,32,1052,4412
16,64,1024,16,True,True,False,cuda,1953,40,1024,8590
16,256,16,1,True,True,False,cuda,666,11,2999,98
16,256,16,8,True,True,False,cuda,746,12,2681,702
16,256,16,16,True,True,False,cuda,956,13,2092,1096
16,256,256,1,True,True,False,cuda,956,9,2092,1096
16,256,256,8,True,True,False,cuda,1090,10,1835,7695
16,256,256,16,True,True,False,cuda,1272,9,1573,13189
16,256,1024,1,True,True,False,cuda,5638,181,355,743
16,256,1024,8,True,True,False,cuda,5602,136,357,5989
16,256,1024,16,True,True,False,cuda,5803,165,345,11564
32,1,16,1,True,True,False,cuda,613,10,3260,0
32,1,16,8,True,True,False,cuda,647,10,3091,6
32,1,16,16,True,True,False,cuda,644,11,3102,12
32,1,256,1,True,True,False,cuda,635,10,3149,12
32,1,256,8,True,True,False,cuda,668,10,2992,98
32,1,256,16,True,True,False,cuda,669,11,2987,195
32,1,1024,1,True,True,False,cuda,648,17,3083,50
32,1,1024,8,True,True,False,cuda,672,10,2976,390
32,1,1024,16,True,True,False,cuda,679,17,2943,772
32,64,16,1,True,True,False,cuda,665,10,3006,49
32,64,16,8,True,True,False,cuda,676,12,2958,387
32,64,16,16,True,True,False,cuda,711,10,2811,737
32,64,256,1,True,True,False,cuda,724,10,2762,724
32,64,256,8,True,True,False,cuda,728,11,2746,5761
32,64,256,16,True,True,False,cuda,804,8,2487,10433
32,64,1024,1,True,True,False,cuda,3171,58,631,661
32,64,1024,8,True,True,False,cuda,3119,22,642,5379
32,64,1024,16,True,True,False,cuda,3206,42,624,10466
32,256,16,1,True,True,False,cuda,669,10,2988,195
32,256,16,8,True,True,False,cuda,872,12,2292,1202
32,256,16,16,True,True,False,cuda,1185,13,1688,1769
32,256,256,1,True,True,False,cuda,1458,12,1371,1438
32,256,256,8,True,True,False,cuda,1697,11,1179,9886
32,256,256,16,True,True,False,cuda,2007,9,997,16718
32,256,1024,1,True,True,False,cuda,10393,27,193,807
32,256,1024,8,True,True,False,cuda,10417,43,192,6442
32,256,1024,16,True,True,False,cuda,10730,32,187,12508
16,1,16,1,True,False,True,cuda,575,9,3477,0
16,1,16,8,True,False,True,cuda,610,9,3276,3
16,1,16,16,True,False,True,cuda,609,9,3281,6
16,1,256,1,True,False,True,cuda,591,11,3382,6
16,1,256,8,True,False,True,cuda,623,9,3206,52
16,1,256,16,True,False,True,cuda,623,9,3209,105
16,1,1024,1,True,False,True,cuda,593,10,3373,27
16,1,1024,8,True,False,True,cuda,627,9,3187,209
16,1,1024,16,True,False,True,cuda,636,16,3142,412
16,64,16,1,True,False,True,cuda,621,10,3219,26
16,64,16,8,True,False,True,cuda,626,9,3195,209
16,64,16,16,True,False,True,cuda,633,14,3158,414
16,64,256,1,True,False,True,cuda,641,9,3116,408
16,64,256,8,True,False,True,cuda,645,10,3100,3251
16,64,256,16,True,False,True,cuda,656,17,3047,6393
16,64,1024,1,True,False,True,cuda,1905,52,1050,550
16,64,1024,8,True,False,True,cuda,1849,22,1082,4536
16,64,1024,16,True,False,True,cuda,1886,24,1061,8895
16,256,16,1,True,False,True,cuda,623,9,3210,105
16,256,16,8,True,False,True,cuda,690,8,2899,759
16,256,16,16,True,False,True,cuda,903,13,2214,1161
16,256,256,1,True,False,True,cuda,869,9,2300,1206
16,256,256,8,True,False,True,cuda,1001,8,1998,8380
16,256,256,16,True,False,True,cuda,1186,11,1687,14146
16,256,1024,1,True,False,True,cuda,5466,20,366,767
16,256,1024,8,True,False,True,cuda,5527,120,362,6071
16,256,1024,16,True,False,True,cuda,5737,168,349,11697
32,1,16,1,True,False,True,cuda,576,9,3469,0
32,1,16,8,True,False,True,cuda,608,9,3287,6
32,1,16,16,True,False,True,cuda,608,9,3287,13
32,1,256,1,True,False,True,cuda,594,14,3363,13
32,1,256,8,True,False,True,cuda,624,8,3203,105
32,1,256,16,True,False,True,cuda,624,9,3201,210
32,1,1024,1,True,False,True,cuda,595,11,3360,55
32,1,1024,8,True,False,True,cuda,625,10,3199,419
32,1,1024,16,True,False,True,cuda,627,9,3186,836
32,64,16,1,True,False,True,cuda,624,10,3205,52
32,64,16,8,True,False,True,cuda,639,17,3126,410
32,64,16,16,True,False,True,cuda,647,8,3090,810
32,64,256,1,True,False,True,cuda,663,9,3014,790
32,64,256,8,True,False,True,cuda,668,10,2993,6278
32,64,256,16,True,False,True,cuda,744,7,2687,11275
32,64,1024,1,True,False,True,cuda,3055,60,655,686
32,64,1024,8,True,False,True,cuda,3025,4,662,5546
32,64,1024,16,True,False,True,cuda,3105,4,644,10806
32,256,16,1,True,False,True,cuda,625,11,3198,209
32,256,16,8,True,False,True,cuda,814,10,2457,1288
